industry_code,industry
23721,23721 Land subdivision
237210,237210 Land subdivision
2373,"2373 Highway, street, and bridge construction"
23731,"23731 Highway, street, and bridge construction"
237310,"237310 Highway, street, and bridge construction"
2379,2379 Other heavy and civil engineering construction
23799,23799 Other heavy and civil engineering construction
237990,237990 Other heavy and civil engineering construction
238,238 Specialty trade contractors
2381,2381 Building foundation and exterior contractors
23811,23811 Poured concrete structure contractors
238111,238111 Residential poured foundation contractors
238112,238112 Nonresidential poured foundation contractors
23812,23812 Steel and precast concrete contractors
238121,238121 Residential structural steel contractors
238122,238122 Nonresidential structural steel contractors
23813,23813 Framing contractors
238131,238131 Residential framing contractors
238132,238132 Nonresidential framing contractors
23814,23814 Masonry contractors
238141,238141 Residential masonry contractors
238142,238142 Nonresidential masonry contractors
23815,23815 Glass and glazing contractors
238151,238151 Residential glass and glazing contractors
238152,238152 Nonresidential glass and glazing contractors
23816,23816 Roofing contractors
238161,238161 Residential roofing contractors
238162,238162 Nonresidential roofing contractors
23817,23817 Siding contractors
238171,238171 Residential siding contractors
238172,238172 Nonresidential siding contractors
23819,23819 Other building exterior contractors
238191,238191 Other residential exterior contractors
238192,238192 Other nonresidential exterior contractors
2382,2382 Building equipment contractors
23821,23821 Electrical and wiring contractors
238211,238211 Residential electrical contractors
238212,238212 Nonresidential electrical contractors
23822,23822 Plumbing and hvac contractors
238221,238221 Residential plumbing and hvac contractors
238222,238222 Nonresidential plumbing and hvac contractors
23829,23829 Other building equipment contractors
238291,238291 Other residential equipment contractors
238292,238292 Other nonresidential equipment contractors
2383,2383 Building finishing contractors
23831,23831 Drywall and insulation contractors
238311,238311 Residential drywall contractors
238312,238312 Nonresidential drywall contractors
23832,23832 Painting and wall covering contractors
238321,238321 Residential painting contractors
238322,238322 Nonresidential painting contractors
23833,23833 Flooring contractors
238331,238331 Residential flooring contractors
238332,238332 Nonresidential flooring contractors
23834,23834 Tile and terrazzo contractors
238341,238341 Residential tile and terrazzo contractors
238342,238342 Nonresidential tile and terrazzo contractors
23835,23835 Finish carpentry contractors
238351,238351 Residential finish carpentry contractors
238352,238352 Nonresidential finish carpentry contractors
23839,23839 Other building finishing contractors
238391,238391 Other residential finishing contractors
238392,238392 Other nonresidential finishing contractors
2389,2389 Other specialty trade contractors
23891,23891 Site preparation contractors
238911,238911 Residential site preparation contractors
238912,238912 Nonresidential site preparation contractors
23899,23899 All other specialty trade contractors
238991,238991 All other residential trade contractors
238992,238992 All other nonresidential trade contractors
311,311 Food manufacturing
3111,3111 Animal food manufacturing
31111,31111 Animal food manufacturing
311111,311111 Dog and cat food manufacturing
311119,311119 Other animal food manufacturing
3112,3112 Grain and oilseed milling
31121,31121 Flour milling and malt manufacturing
311211,311211 Flour milling
311212,311212 Rice milling
311213,311213 Malt manufacturing
31122,31122 Starch and vegetable fats and oils manufacturing
311221,311221 Wet corn milling and starch manufacturing
311222,311222 Soybean processing
311223,311223 Other oilseed processing
311224,311224 Soybean and other oilseed processing
311225,311225 Fats and oils refining and blending
31123,31123 Breakfast cereal manufacturing
311230,311230 Breakfast cereal manufacturing
3113,3113 Sugar and confectionery product manufacturing
31131,31131 Sugar manufacturing
311311,311311 Sugarcane mills
311312,311312 Cane sugar refining
311313,311313 Beet sugar manufacturing
311314,311314 Cane sugar manufacturing
31132,31132 Confectionery manufacturing from cacao beans
311320,311320 Confectionery manufacturing from cacao beans
31133,31133 Confectionery mfg. from purchased chocolate
311330,311330 Confectionery mfg. from purchased chocolate
31134,31134 Nonchocolate confectionery manufacturing
311340,311340 Nonchocolate confectionery manufacturing
31135,31135 Chocolate and confectionery manufacturing
311351,311351 Chocolate and confectionery manufacturing from cacao beans
311352,311352 Confectionery manufacturing from purchased chocolate
3114,3114 Fruit and vegetable preserving and specialty food manufacturing
31141,31141 Frozen food manufacturing
311411,"311411 Frozen fruit, juice, and vegetable manufacturing"
311412,311412 Frozen specialty food manufacturing
31142,"31142 Fruit and vegetable canning, pickling, and drying"
311421,311421 Fruit and vegetable canning
311422,311422 Specialty canning
311423,311423 Dried and dehydrated food manufacturing
3115,3115 Dairy product manufacturing
31151,31151 Dairy product (except frozen) manufacturing
311511,311511 Fluid milk manufacturing
311512,311512 Creamery butter manufacturing
311513,311513 Cheese manufacturing
311514,"311514 Dry, condensed, and evaporated dairy product manufacturing"
31152,31152 Ice cream and frozen dessert manufacturing
311520,311520 Ice cream and frozen dessert manufacturing
3116,3116 Animal slaughtering and processing
31161,31161 Animal slaughtering and processing
311611,311611 Animal (except poultry) slaughtering
311612,311612 Meat processed from carcasses
311613,311613 Rendering and meat byproduct processing
311615,311615 Poultry processing
3117,3117 Seafood product preparation and packaging
31171,31171 Seafood product preparation and packaging
311710,311710 Seafood product preparation and packaging
311711,311711 Seafood canning
311712,311712 Fresh and frozen seafood processing
3118,3118 Bakeries and tortilla manufacturing
31181,31181 Bread and bakery product manufacturing
311811,311811 Retail bakeries
311812,311812 Commercial bakeries
311813,"311813 Frozen cakes, pies, and other pastries manufacturing"
31182,"31182 Cookie, cracker, and pasta manufacturing"
311821,311821 Cookie and cracker manufacturing
311822,311822 Mixes and dough made from purchased flour
311823,311823 Dry pasta manufacturing
311824,"311824 Dry pasta, dough, and flour mixes manufacturing from purchased flour"
31183,31183 Tortilla manufacturing
311830,311830 Tortilla manufacturing
3119,3119 Other food manufacturing
31191,31191 Snack food manufacturing
311911,311911 Roasted nuts and peanut butter manufacturing
311919,311919 Other snack food manufacturing
31192,31192 Coffee and tea manufacturing
311920,311920 Coffee and tea manufacturing
31193,31193 Flavoring syrup and concentrate manufacturing
311930,311930 Flavoring syrup and concentrate manufacturing
31194,31194 Seasoning and dressing manufacturing
311941,"311941 Mayonnaise, dressing, and other prepared sauce manufacturing"
311942,311942 Spice and extract manufacturing
31199,31199 All other food manufacturing
311991,311991 Perishable prepared food manufacturing
311999,311999 All other miscellaneous food manufacturing
312,312 Beverage and tobacco product manufacturing
3121,3121 Beverage manufacturing
31211,31211 Soft drink and ice manufacturing
312111,312111 Soft drink manufacturing
312112,312112 Bottled water manufacturing
312113,312113 Ice manufacturing
31212,31212 Breweries
312120,312120 Breweries
31213,31213 Wineries
312130,312130 Wineries
31214,31214 Distilleries
312140,312140 Distilleries
3122,3122 Tobacco manufacturing
31221,31221 Tobacco stemming and redrying
312210,312210 Tobacco stemming and redrying
31222,31222 Tobacco product manufacturing
312221,312221 Cigarette manufacturing
312229,312229 Other tobacco product manufacturing
31223,31223 Tobacco manufacturing
312230,312230 Tobacco manufacturing
313,313 Textile mills
3131,"3131 Fiber, yarn, and thread mills"
31311,"31311 Fiber, yarn, and thread mills"
313110,"313110 Fiber, yarn, and thread mills"
313111,313111 Yarn spinning mills
313112,313112 Yarn texturizing and twisting mills
313113,313113 Thread mills
3132,3132 Fabric mills
31321,31321 Broadwoven fabric mills
313210,313210 Broadwoven fabric mills
31322,31322 Narrow fabric mills and schiffli machine embroidery
313220,313220 Narrow fabric mills and schiffli machine embroidery
313221,313221 Narrow fabric mills
313222,313222 Schiffli machine embroidery
31323,31323 Nonwoven fabric mills
313230,313230 Nonwoven fabric mills
31324,31324 Knit fabric mills
313240,313240 Knit fabric mills
313241,313241 Weft knit fabric mills
313249,313249 Other knit fabric and lace mills
3133,3133 Textile and fabric finishing and fabric coating mills
31-33,31-33 Manufacturing
31331,31331 Textile and fabric finishing mills
313310,313310 Textile and fabric finishing mills
313311,313311 Broadwoven fabric finishing mills
313312,313312 Other textile and fabric finishing mills
31332,31332 Fabric coating mills
313320,313320 Fabric coating mills
314,314 Textile product mills
3141,3141 Textile furnishings mills
31411,31411 Carpet and rug mills
314110,314110 Carpet and rug mills
31412,31412 Curtain and linen mills
314120,314120 Curtain and linen mills
314121,314121 Curtain and drapery mills
314129,314129 Other household textile product mills
3149,3149 Other textile product mills
31491,31491 Textile bag and canvas mills
314910,314910 Textile bag and canvas mills
314911,314911 Textile bag mills
314912,314912 Canvas and related product mills
31499,31499 All other textile product mills
314991,"314991 Rope, cordage, and twine mills"
314992,314992 Tire cord and tire fabric mills
314994,"314994 Rope, cordage, twine, tire cord, and tire fabric mills"
314999,314999 All other miscellaneous textile product mills
315,315 Apparel manufacturing
3151,3151 Apparel knitting mills
31511,31511 Hosiery and sock mills
315110,315110 Hosiery and sock mills
315111,315111 Sheer hosiery mills
315119,315119 Other hosiery and sock mills
31512,31512 Apparel knitting mills
315120,315120 Apparel knitting mills
31519,31519 Other apparel knitting mills
315190,315190 Other apparel knitting mills
315191,315191 Outerwear knitting mills
315192,315192 Underwear and nightwear knitting mills
3152,3152 Cut and sew apparel manufacturing
31521,31521 Cut and sew apparel contractors
315210,315210 Cut and sew apparel contractors
315211,315211 Men's and boys' apparel contractors
315212,"315212 Women's, girls', infants' apparel contractors"
31522,31522 Men's and boys' cut and sew apparel mfg.
315220,315220 Men's and boys' cut and sew apparel mfg.
315221,315221 Men's and boys' underwear and nightwear mfg.
315222,"315222 Men's and boys' suit, coat, and overcoat mfg."
315223,"315223 Men's and boys' shirt, except work shirt, mfg."
315224,"315224 Men's and boys' pants, except work pants, mfg."
315225,315225 Men's and boys' work clothing manufacturing
315228,315228 Other men's and boys' outerwear manufacturing
31523,31523 Women's and girls' cut and sew apparel mfg.
315231,315231 Women's and girls' lingerie and nightwear mfg.
315232,315232 Women's and girls' blouse and shirt mfg.
315233,315233 Women's and girls' dress manufacturing
315234,"315234 Women's and girls' suit, coat, and skirt mfg."
315239,315239 Other women's and girls' outerwear mfg.
31524,"31524 Women's, girls', infants' cut-sew apparel mfg."
315240,"315240 Women's, girls', infants' cut-sew apparel mfg."
31525,31525 Cut and sew apparel manufacturing (except contractors)
315250,315250 Cut and sew apparel manufacturing (except contractors)
31528,31528 Other cut and sew apparel manufacturing
315280,315280 Other cut and sew apparel manufacturing
31529,31529 Other cut and sew apparel manufacturing
315291,315291 Infants' cut and sew apparel manufacturing
315292,315292 Fur and leather apparel manufacturing
315299,315299 All other cut and sew apparel manufacturing
3159,3159 Apparel accessories and other apparel manufacturing
31599,31599 Apparel accessories and other apparel manufacturing
315990,315990 Apparel accessories and other apparel manufacturing
315991,"315991 Hat, cap, and millinery manufacturing"
315992,315992 Glove and mitten manufacturing
315993,315993 Men's and boys' neckwear manufacturing
315999,315999 All other accessory and apparel manufacturing
316,316 Leather and allied product manufacturing
3161,3161 Leather and hide tanning and finishing
31611,31611 Leather and hide tanning and finishing
316110,316110 Leather and hide tanning and finishing
3162,3162 Footwear manufacturing
31621,31621 Footwear manufacturing
316210,316210 Footwear manufacturing
316211,316211 Rubber and plastics footwear manufacturing
316212,316212 House slipper manufacturing
316213,316213 Men's nonathletic footwear manufacturing
316214,316214 Women's nonathletic footwear manufacturing
316219,316219 Other footwear manufacturing
3169,3169 Other leather and allied product manufacturing
31699,31699 Other leather and allied product manufacturing
316990,316990 Other leather and allied product manufacturing
316991,316991 Luggage manufacturing
316992,316992 Women's handbag and purse manufacturing
316993,316993 Other personal leather good manufacturing
316998,316998 All other leather and allied good mfg.
316999,316999 All other leather and allied good mfg.
321,321 Wood product manufacturing
3211,3211 Sawmills and wood preservation
32111,32111 Sawmills and wood preservation
321113,321113 Sawmills
321114,321114 Wood preservation
3212,"3212 Veneer, plywood, and engineered wood product manufacturing"
32121,"32121 Veneer, plywood, and engineered wood product manufacturing"
321211,321211 Hardwood veneer and plywood manufacturing
321212,321212 Softwood veneer and plywood manufacturing
321213,321213 Engineered wood member manufacturing
321214,321214 Truss manufacturing
321215,321215 Engineered wood member manufacturing
321219,321219 Reconstituted wood product manufacturing
3219,3219 Other wood product manufacturing
32191,32191 Millwork
321911,321911 Wood window and door manufacturing
321912,"321912 Cut stock, resawing lumber, and planing"
321918,321918 Other millwork (including flooring)
32192,32192 Wood container and pallet manufacturing
321920,321920 Wood container and pallet manufacturing
32199,32199 All other wood product manufacturing
321991,321991 Manufactured home (mobile home) manufacturing
321992,321992 Prefabricated wood building manufacturing
321999,321999 All other miscellaneous wood product manufacturing
322,322 Paper manufacturing
3221,"3221 Pulp, paper, and paperboard mills"
32211,32211 Pulp mills
322110,322110 Pulp mills
32212,32212 Paper mills
322120,322120 Paper mills
322121,"322121 Paper, except newsprint, mills"
322122,322122 Newsprint mills
32213,32213 Paperboard mills
322130,322130 Paperboard mills
3222,3222 Converted paper product manufacturing
32221,32221 Paperboard container manufacturing
322211,322211 Corrugated and solid fiber box manufacturing
322212,322212 Folding paperboard box manufacturing
322213,322213 Setup paperboard box manufacturing
322214,"322214 Fiber can, tube, and drum manufacturing"
322215,322215 Nonfolding sanitary food container mfg.
322219,322219 Other paperboard container manufacturing
32222,32222 Paper bag and coated and treated paper manufacturing
322220,322220 Paper bag and coated and treated paper manufacturing
322221,322221 Coated and laminated packaging paper mfg.
322222,322222 Coated and laminated paper manufacturing
322223,322223 Coated paper bag and pouch manufacturing
322224,322224 Uncoated paper and multiwall bag mfg.
322225,322225 Flexible packaging foil manufacturing
322226,322226 Surface-coated paperboard manufacturing
32223,32223 Stationery product manufacturing
322230,322230 Stationery product manufacturing
322231,322231 Die-cut paper office supplies manufacturing
322232,322232 Envelope manufacturing
322233,322233 Stationery and related product manufacturing
32229,32229 Other converted paper product manufacturing
322291,322291 Sanitary paper product manufacturing
322299,322299 All other converted paper product manufacturing
323,323 Printing and related support activities
3231,3231 Printing and related support activities
32311,32311 Printing
323110,323110 Commercial lithographic printing
323111,323111 Commercial printing (except screen and books)
323112,323112 Commercial flexographic printing
323113,323113 Commercial screen printing
323114,323114 Quick printing
323115,323115 Digital printing
323116,323116 Manifold business forms printing
323117,323117 Books printing
323118,323118 Blankbook and looseleaf binder manufacturing
323119,323119 Other commercial printing
32312,32312 Support activities for printing
323120,323120 Support activities for printing
323121,323121 Tradebinding and related work
323122,323122 Prepress services
324,324 Petroleum and coal products manufacturing
3241,3241 Petroleum and coal products manufacturing
32411,32411 Petroleum refineries
324110,324110 Petroleum refineries
32412,"32412 Asphalt paving, roofing, and saturated materials manufacturing"
324121,324121 Asphalt paving mixture and block manufacturing
324122,324122 Asphalt shingle and coating materials manufacturing
32419,32419 Other petroleum and coal products manufacturing
324191,324191 Petroleum lubricating oil and grease manufacturing
324199,324199 All other petroleum and coal products manufacturing
325,325 Chemical manufacturing
3251,3251 Basic chemical manufacturing
32511,32511 Petrochemical manufacturing
325110,325110 Petrochemical manufacturing
32512,32512 Industrial gas manufacturing
325120,325120 Industrial gas manufacturing
32513,32513 Synthetic dye and pigment manufacturing
325130,325130 Synthetic dye and pigment manufacturing
325131,325131 Inorganic dye and pigment manufacturing
325132,325132 Synthetic organic dye and pigment mfg.
32518,32518 Other basic inorganic chemical manufacturing
325180,325180 Other basic inorganic chemical manufacturing
325181,325181 Alkalies and chlorine manufacturing
325182,325182 Carbon black manufacturing
325188,325188 All other basic inorganic chemical mfg.
32519,32519 Other basic organic chemical manufacturing
325191,325191 Gum and wood chemical manufacturing
325192,325192 Cyclic crude and intermediate manufacturing
325193,325193 Ethyl alcohol manufacturing
325194,"325194 Cyclic crude, intermediate, and gum and wood chemical manufacturing"
325199,325199 All other basic organic chemical manufacturing
3252,"3252 Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing"
32521,32521 Resin and synthetic rubber manufacturing
325211,325211 Plastics material and resin manufacturing
325212,325212 Synthetic rubber manufacturing
32522,32522 Artificial and synthetic fibers and filaments manufacturing
325220,325220 Artificial and synthetic fibers and filaments manufacturing
325221,325221 Cellulosic organic fiber manufacturing
325222,325222 Noncellulosic organic fiber manufacturing
3253,"3253 Pesticide, fertilizer, and other agricultural chemical manufacturing"
32531,32531 Fertilizer and compost manufacturing
325311,325311 Nitrogenous fertilizer manufacturing
325312,325312 Phosphatic fertilizer manufacturing
325314,325314 Fertilizer (mixing only) manufacturing
325315,325315 Compost manufacturing
32532,32532 Pesticide and other agricultural chemical manufacturing
325320,325320 Pesticide and other agricultural chemical manufacturing
3254,3254 Pharmaceutical and medicine manufacturing
32541,32541 Pharmaceutical and medicine manufacturing
325411,325411 Medicinal and botanical manufacturing
325412,325412 Pharmaceutical preparation manufacturing
325413,325413 In-vitro diagnostic substance manufacturing
325414,325414 Biological product (except diagnostic) manufacturing
3255,"3255 Paint, coating, and adhesive manufacturing"
32551,32551 Paint and coating manufacturing
325510,325510 Paint and coating manufacturing
32552,32552 Adhesive manufacturing
325520,325520 Adhesive manufacturing
3256,"3256 Soap, cleaning compound, and toilet preparation manufacturing"
32561,32561 Soap and cleaning compound manufacturing
325611,325611 Soap and other detergent manufacturing
325612,325612 Polish and other sanitation good manufacturing
325613,325613 Surface active agent manufacturing
32562,32562 Toilet preparation manufacturing
325620,325620 Toilet preparation manufacturing
3259,3259 Other chemical product and preparation manufacturing
32591,32591 Printing ink manufacturing
325910,325910 Printing ink manufacturing
32592,32592 Explosives manufacturing
325920,325920 Explosives manufacturing
32599,32599 All other chemical product and preparation manufacturing
325991,325991 Custom compounding of purchased resins
325992,"325992 Photographic film, paper, plate, chemical, and copy toner manufacturing"
325998,325998 All other miscellaneous chemical product and preparation manufacturing
326,326 Plastics and rubber products manufacturing
3261,3261 Plastics product manufacturing
32611,32611 Plastics packaging materials and unlaminated film and sheet manufacturing
326111,326111 Plastics bag and pouch manufacturing
326112,326112 Plastics packaging film and sheet (including laminated) manufacturing
326113,326113 Unlaminated plastics film and sheet (except packaging) manufacturing
32612,"32612 Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
326121,326121 Unlaminated plastics profile shape manufacturing
326122,326122 Plastics pipe and pipe fitting manufacturing
32613,"32613 Laminated plastics plate, sheet (except packaging), and shape manufacturing"
326130,"326130 Laminated plastics plate, sheet (except packaging), and shape manufacturing"
32614,32614 Polystyrene foam product manufacturing
326140,326140 Polystyrene foam product manufacturing
32615,32615 Urethane and other foam product (except polystyrene) manufacturing
326150,326150 Urethane and other foam product (except polystyrene) manufacturing
32616,32616 Plastics bottle manufacturing
326160,326160 Plastics bottle manufacturing
32619,32619 Other plastics product manufacturing
326191,326191 Plastics plumbing fixture manufacturing
326192,326192 Resilient floor covering manufacturing
326199,326199 All other plastics product manufacturing
3262,3262 Rubber product manufacturing
32621,32621 Tire manufacturing
326211,326211 Tire manufacturing (except retreading)
326212,326212 Tire retreading
32622,32622 Rubber and plastics hoses and belting manufacturing
326220,326220 Rubber and plastics hoses and belting manufacturing
32629,32629 Other rubber product manufacturing
326291,326291 Rubber product manufacturing for mechanical use
326299,326299 All other rubber product manufacturing
327,327 Nonmetallic mineral product manufacturing
3271,3271 Clay product and refractory manufacturing
32711,"32711 Pottery, ceramics, and plumbing fixture manufacturing"
327110,"327110 Pottery, ceramics, and plumbing fixture manufacturing"
327111,327111 Vitreous china plumbing fixture manufacturing
327112,327112 Vitreous china and earthenware articles mfg.
327113,327113 Porcelain electrical supply manufacturing
32712,32712 Clay building material and refractories manufacturing
327120,327120 Clay building material and refractories manufacturing
327121,327121 Brick and structural clay tile manufacturing
327122,327122 Ceramic wall and floor tile manufacturing
327123,327123 Other structural clay product manufacturing
327124,327124 Clay refractory manufacturing
327125,327125 Nonclay refractory manufacturing
3272,3272 Glass and glass product manufacturing
32721,32721 Glass and glass product manufacturing
327211,327211 Flat glass manufacturing
327212,327212 Other pressed and blown glass and glassware manufacturing
327213,327213 Glass container manufacturing
327215,327215 Glass product manufacturing made of purchased glass
3273,3273 Cement and concrete product manufacturing
32731,32731 Cement manufacturing
327310,327310 Cement manufacturing
32732,32732 Ready-mix concrete manufacturing
327320,327320 Ready-mix concrete manufacturing
32733,"32733 Concrete pipe, brick, and block manufacturing"
327331,327331 Concrete block and brick manufacturing
327332,327332 Concrete pipe manufacturing
32739,32739 Other concrete product manufacturing
